"key","value","languageCode"
"Line chart showcasing key achievements over time, highlighting milestones and progress along the timeline.","Line chart showcasing key achievements over time, highlighting milestones and progress along the timeline.","en"
"Bar chart visualizing spending across Salaries, Benefits, CSR, Well-Being categories, comparing amounts spent for better sustainability insights.","Bar chart visualizing spending across Salaries, Benefits, CSR, Well-Being categories, comparing amounts spent for better sustainability insights.","en"
"Progress Each Area - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Progress Each Area - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Chart presenting monthly GHG emissions data, breaking down emissions across Scope 1, 2, and 3 categories to highlight their relative contributions over time.","Chart presenting monthly GHG emissions data, breaking down emissions across Scope 1, 2, and 3 categories to highlight their relative contributions over time.","en"
"Chart displaying monthly water consumption trends, highlighting variations in water usage across different months.","Chart displaying monthly water consumption trends, highlighting variations in water usage across different months.","en"
"Recycled Waste, Non Hazardous Waste Generation Trend","Recycled Waste, Non Hazardous Waste Generation Trend","en"
"Energy Emission - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Energy Emission - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Heat Map - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Heat Map - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Energy Use - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Energy Use - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Chart showcasing key achievements over time, highlighting milestones and progress along the timeline.","Chart showcasing key achievements over time, highlighting milestones and progress along the timeline.","en"
"Assessments - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Assessments - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Air Pollution - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","Air Pollution - Energy consumption (MWh) distribution across locations, visualized in a pie chart for easy comparison.","en"
"Chart visualizing spending across Water, Waste, Energy categories, comparing amounts spent for better sustainability insights.","Chart visualizing spending across Water, Waste, Energy categories, comparing amounts spent for better sustainability insights.","en"
"Score","Score","en"
"The API call is working, but it is still being developed by the backend team.","The API call is working, but it is still being developed by the backend team.","en"
"Welcome to","Welcome to","en"
"Here are the 3 steps to streamline your sustainability journey","Here are the 3 steps to streamline your sustainability journey","en"
"Data Import","Data Import","en"
"Import your data to begin.","Import your data to begin.","en"
"Import Data","Import Data","en"
"You can import data via Excel,CSV files, or connect to your systems.","You can import data via Excel,CSV files, or connect to your systems.","en"
"2. Measure & Insights","2. Measure & Insights","en"
"Analyze your key Metrics and gain insights.","Analyze your key Metrics and gain insights.","en"
"Measurement Dashboard","Measurement Dashboard","en"
"Explore Performance dashboards, KPIs and track growth trends.","Explore Performance dashboards, KPIs and track growth trends.","en"
"3. Reports ","3. Reports ","en"
"Create detailed reports to share with others.","Create detailed reports to share with others.","en"
"Reports","Reports","en"
"Generate and export reports in PDF or Excel.","Generate and export reports in PDF or Excel.","en"
"This assessment deleted successfully","This assessment deleted successfully","en"
"Please select a frequency","Please select a frequency","en"
"Please enter a valid end date","Please enter a valid end date","en"
"Please enter a valid start date","Please enter a valid start date","en"
"Please enter a valid number of days","Please enter a valid number of days","en"
"Duration must be at least 1 day","Duration must be at least 1 day","en"
"Duration cannot exceed 360 days","Duration cannot exceed 360 days","en"
"Please select a notification template","Please select a notification template","en"
"Please select supplier","Please select supplier","en"
"Water(gallons) / Wine(gallons)","Water(gallons) / Wine(gallons)","en"
"Add New Dashboard","Add New Dashboard","en"
"Confirm Dashboard Request","Confirm Dashboard Request","en"
"Are you sure you want to request for the new dashboard layout? this will notify the Super Admin for further review.","Are you sure you want to request for the new dashboard layout? this will notify the Super Admin for further review.","en"
"Request a new dashboard","Request a new dashboard","en"
"Request Sent Successfully. Our support team will contact you shortly","Request Sent Successfully. Our support team will contact you shortly","en"
"Contact Us","Contact Us","en"
"Energy(KWh) / Wine(gallons)","Energy(KWh) / Wine(gallons)","en"
"No data available","No data available","en"
"Time Period","Time Period","en"
"Metric tons of CO2 equivalent","Metric tons of CO2 equivalent","en"
"New Subcategory is saved","New Subcategory is saved","en"
"Please Type All Values Correctly ","Please Type All Values Correctly ","en"
"category and subCategory both should not be same","category and subCategory both should not be same","en"
"Please Select Category Value ","Please Select Category Value ","en"
"Row Added Successfully","Row Added Successfully","en"
"Row Updated Successfully","Row Updated Successfully","en"
"Please Fill the all required fields Category, Subcategory, Value, Units, Emission Factor for the calculation","Please Fill the all required fields Category, Subcategory, Value, Units, Emission Factor for the calculation","en"
"Type new scope...","Type new scope...","en"
"Please fill all the required fields","Please fill all the required fields","en"
"Dashboard Update Failed","Dashboard Update Failed","en"
"Please de-select before proceeding.","Please de-select before proceeding.","en"
"Your sustainability journey has already begun — keep growing, keep glowing!","Your sustainability journey has already begun — keep growing, keep glowing!","en"
"Keys updated Successfully","Keys updated Successfully","en"
"Keys added Successfully","Keys added Successfully","en"
"Default filter setting removed","Default filter setting removed","en"
"Confirm Filter Update","Confirm Filter Update","en"
"You're about to update your default filter settings. Do you want to proceed?","You're about to update your default filter settings. Do you want to proceed?","en"
"Cancel","Cancel","en"
"Update","Update","en"
"Set As Default","Set As Default","en"
"click to import","click to import","en"
"Processing…","Processing…","en"
"Processing your document","Processing your document","en"
"Analysis In Progress","Analysis In Progress","en"
"Please Upload Document","Please Upload Document","en"
"Error happend in processing document","Error happened in processing document","en"
"File Selected:","File Selected:","en"
"Data Exported Successfully","Data Exported Successfully","en"
"Repository","Repository","en"
"Export","Export","en"
"Assessment assigned successfully","Assessment assigned successfully","en"
"Assessment Created Successfully","Assessment Created Successfully","en"
"Assessment Updated Successfully","Assessment Updated Successfully","en"
"Unable to save the form","Unable to save the form","en"
"Assessment Title : ","Assessment Title : ","en"
"Thank you for signing up! A confirmation email has been sent to your email address. Please check  to verify your account and get started.","Thank you for signing up! A confirmation email has been sent to your email address. Please check  to verify your account and get started.","en"
"The login details are incorrect","The login details are incorrect","en"
"Access tailored solutions and industry insights designed to elevate your business.","Access tailored solutions and industry insights designed to elevate your business.","en"
"Country","Country","en"
"I agree to the","I agree to the","en"
"Terms of Service","Terms of Service","en"
"Privacy Policy","Privacy Policy","en"
"and","and","en"
"or Sign in Using","or Sign in Using","en"
"Already have an account?","Already have an account?","en"
"Sign In","Sign In","en"
"Error in sending attachment","Error in sending attachment","en"
"Attachment sent successfully!","Attachment sent successfully!","en"
"click to import","click to import","en"
"Saved Calculated Values","Saved Calculated Values","en"
"Data Updated!","Data Updated!","en"
"Compliance reports updated successfully","Compliance reports updated successfully","en"
"Please Type Category Name","Please Type Category Name","en"
"New category is saved","New category is saved","en"
"Sign in","Sign in","en"
"Optimize your business with AI-driven insights.","Optimize your business with AI-driven insights.","en"
"Continue with Google","Continue with Google","en"
"Continue with Microsoft","Continue with Microsoft","en"
"or Sign in with User Name","or Sign in with User Name","en"
"Forgot Password?","Forgot Password?","en"
"Remember Me","Remember Me","en"
"Please wait...","Please wait...","en"
"Sign Up Now","Sign Up Now","en"
"Not Registered Yet?","Not Registered Yet?","en"
"Error","Error","en"
"Sent password reset. Please check your email","Sent password reset. Please check your email","en"
"Sorry, looks like there are some errors detected, please try again.","Sorry, looks like there are some errors detected, please try again.","en"
"Enter your email to reset your password.","Enter your email to reset your password.","en"
"Forgot Password ?","Forgot Password ?","en"
"Create an account","Create an account","en"
"Username is required","Username is required","en"
"GHG calculator's","GHG calculator's","en"
"Please Select Location","Please Select Location","en"
"Choose an option","Choose an option","en"
"raised this incident","raised this incident","en"
"User name","User name","en"
"Power fluctuations, especially sudden surges or drops in voltage, can damage production machinery and equipment. This damage may require repairs or even replacement of expensive machinery, leading to downtime and increased costs.","Power fluctuations, especially sudden surges or drops in voltage, can damage production machinery and equipment. This damage may require repairs or even replacement of expensive machinery, leading to downtime and increased costs.","en"
"Attachment","Attachment","en"
"Incident.jpg","Incident.jpg","en"
"Immediate Actions Taken","Immediate Actions Taken","en"
"Initiate Investigation","Initiate Investigation","en"
"Investigation Team Members Attendance","Investigation Team Members Attendance","en"
"Yes","Yes","en"
"Does this Incident Required to File a Claim","Does this Incident Required to File a Claim","en"
"Given First AID","Given First AID","en"
"Metric List","Metric List","en"
"Assessment","Assessment","en"
"Please Add Records To Display Here","Please Add Records To Display Here","en"
"Requirements","Requirements","en"
"Wine Limited","Wine Limited","en"
"New Assessment","New Assessment","en"
"Supplier Name : Wine Limited","Supplier Name : Wine Limited","en"
"Website :","Website :","en"
"Sustainability Report-2021","Sustainability Report-2021","en"
"Sustainability Report-2022","Sustainability Report-2022","en"
"Sustainability Report-2023","Sustainability Report-2023","en"
"Integrations","Integrations","en"
"Create new metrics","Create new metrics","en"
"Data Source","Data Source","en"
